"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Darius Garland","Cle","G","24.2","50","33.3","25.6","17.3","161","0.839","423","0.513","316","0.364","0.527","0.564","18.3","2.6","6.5","1.2","0.1","3.1","20.9","24.8","27.4","8.1","109.5","112.2"
"","RJ Barrett","Nyk","F","23.8","26","29.5","27.5","10.8","124","0.831","258","0.469","130","0.331","0.478","0.536","18.2","4.3","2.4","0.5","0.3","1.8","22.5","20.7","24.9","7.8","109.9","111"
"","D'Angelo Russell","Lal","G","28.1","68","32.4","23.1","12.4","176","0.824","496","0.496","469","0.42","0.561","0.589","18.1","3","6.4","0.9","0.5","2","21.1","24.4","27.5","8.7","116.6","113.4"
"","Nikola Vucevic","Chi","C","33.4","69","34.3","23.5","9.2","115","0.826","818","0.551","286","0.283","0.519","0.537","18","10.6","3.3","0.7","0.8","1.6","28.6","21.3","31.9","10","112.5","109.9"
"","Bradley Beal","Pho","G","30.8","45","33","23.1","15.3","121","0.793","427","0.553","199","0.382","0.559","0.586","17.7","4.1","5.1","1","0.4","2.5","21.8","22.8","26.9","8.7","113.8","112.6"
"","Immanuel Quickley","Tor","G","24.8","32","33.5","22.8","10.3","111","0.793","244","0.434","224","0.397","0.512","0.549","17.7","4.7","6.6","0.8","0.2","1.7","22.4","24.3","29","9.8","115.7","116.6"
"","Klay Thompson","Gol","F","34.1","69","29.7","23.8","9.3","121","0.917","391","0.491","612","0.384","0.543","0.568","17.4","3.3","2.2","0.6","0.4","1.5","20.7","19.6","22.9","6.8","111.5","115.1"
"","Tobias Harris","Phi","F","31.7","65","34","20.7","9.1","196","0.878","649","0.539","237","0.342","0.532","0.573","17.2","6.3","3.1","1","0.6","1.4","23.5","20.2","26.6","8.2","117.1","113.3"
"","Jordan Clarkson","Uta","G","31.8","55","30.6","26.1","15.2","201","0.881","507","0.485","309","0.294","0.469","0.521","17.1","3.4","5","0.6","0.1","2.7","20.5","22.2","25.6","8.7","106.5","120.5"
"","James Harden","Lac","G","34.6","66","34.8","20.6","18.3","317","0.88","314","0.5","450","0.391","0.551","0.62","17","5.1","8.5","1.1","0.9","2.6","22.1","25.5","30.6","10.4","126.3","113.9"
"","Myles Turner","Ind","C","28","71","27.3","23.2","10.7","293","0.775","548","0.608","295","0.349","0.578","0.618","16.9","6.9","1.3","0.5","1.8","1.4","23.8","18.2","25.1","7.8","118.5","109.7"
"","Michael Porter Jr.","Den","F","25.8","73","31.8","20.5","7.8","100","0.83","465","0.587","499","0.403","0.596","0.611","16.9","7","1.5","0.5","0.7","1.1","23.9","18.4","25.4","7.1","118.6","111.3"
"","Jordan Poole","Was","G","24.8","72","29.6","26.2","13.8","202","0.871","564","0.491","504","0.321","0.487","0.526","16.9","2.6","4","1.1","0.3","2.4","19.5","20.9","23.6","7.6","100.8","113.9"
"","Brandon Miller","Cha","F","21.4","66","32.1","23.7","10.7","145","0.814","534","0.487","429","0.371","0.518","0.543","16.9","4.3","2.4","0.9","0.5","1.7","21.2","19.3","23.5","7","104.9","115.6"
"","Fred VanVleet","Hou","G","30.1","66","36.7","19.3","11.2","195","0.867","374","0.455","527","0.381","0.523","0.563","16.8","3.7","8.1","1.3","0.9","1.7","20.6","25","28.7","8.7","122.6","110.7"
"","Chet Holmgren","Okc","C","21.9","73","29.9","21.3","11.9","239","0.803","545","0.626","310","0.377","0.604","0.638","16.8","7.9","2.6","0.6","2.4","1.6","24.7","19.4","27.3","9.4","123.5","106.6"
"","Bogdan Bogdanovic","Atl","G","31.6","70","30.1","22.2","8.7","131","0.908","404","0.5","573","0.373","0.535","0.563","16.6","3.4","3.1","1.2","0.3","1.3","20.1","19.7","23.1","7.4","115.9","115.6"
"","Jarrett Allen","Cle","C","25.9","69","31.6","19.4","13.4","289","0.744","715","0.635","5","0","0.631","0.663","16.3","10.7","2.7","0.7","1.1","1.6","27","19","29.7","9.8","130.5","106.6"
"","Jonathan Kuminga","Gol","F","21.5","70","26.3","24.4","12.3","289","0.74","670","0.579","158","0.316","0.559","0.597","16.3","4.8","2.1","0.7","0.5","1.7","21","18.4","23.2","8.3","116","110.2"
"","Jalen Johnson","Atl","F","22.3","51","34","18.9","12.1","138","0.725","455","0.578","184","0.353","0.564","0.587","16.1","8.6","3.5","1.1","0.9","1.7","24.7","19.6","28.3","9.2","117.4","112.6"
"","Austin Reaves","Lal","G","25.8","74","32.1","20.4","15.9","256","0.863","476","0.582","374","0.369","0.569","0.618","16.1","4.4","5.6","0.8","0.3","2.2","20.4","21.7","26.1","9.2","119.2","113.5"
"","Shaedon Sharpe","Por","G","20.8","32","33.1","22.5","14.2","119","0.824","254","0.457","180","0.333","0.475","0.524","15.9","5","2.9","0.9","0.4","2.3","20.9","18.9","23.9","7.4","104.7","114"
"","Deandre Ayton","Por","C","25.7","48","32.1","20","12.6","69","0.812","601","0.582","4","0.25","0.581","0.597","15.8","11","1.6","1","0.8","1.8","26.8","17.4","28.4","8.1","114.8","111.7"
"","Keldon Johnson","San","F","24.5","68","29.6","21.9","10.2","219","0.79","492","0.535","362","0.348","0.529","0.567","15.8","5.5","2.9","0.7","0.3","1.4","21.3","18.7","24.2","8.5","112.9","113.9"
"","Malcolm Brogdon","Por","G","31.3","39","28.7","23.1","10.8","116","0.819","297","0.458","199","0.412","0.522","0.56","15.7","3.8","5.5","0.7","0.2","1.5","19.5","21.2","25","9.6","119.6","117.8"
"","De'Andre Hunter","Atl","F","26.3","49","28.9","20.5","10.6","167","0.856","306","0.523","252","0.405","0.561","0.609","15.7","3.8","1.4","0.7","0.3","1.3","19.5","17.1","20.9","6.1","118","114.5"
