"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kris Murray","Por","F","23.6","54","19.7","13.9","13.4","41","0.61","144","0.535","141","0.27","0.47","0.483","5.4","3.1","1.3","0.9","0.3","0.8","8.6","6.7","9.9","5.7","101.7","115.2"
"","Nicolas Batum","Phi","G-F","35.3","49","25.3","8.6","13.8","21","0.714","60","0.6","145","0.4","0.6","0.609","5.3","4.2","2.1","0.7","0.6","0.7","9.6","7.4","11.7","5.7","127.1","111.6"
"","Drew Eubanks","Pho","F-C","27.2","68","15.7","13.3","20.3","87","0.77","228","0.618","3","1","0.63","0.665","5.3","4.3","0.9","0.4","0.8","0.9","9.5","6.1","10.4","7","123.3","107.4"
"","Stanley Umude","Det","G","25","24","12.8","15.5","14.2","32","0.906","31","0.419","53","0.453","0.583","0.647","5.3","2.1","0.5","0.3","0.3","0.6","7.4","5.8","7.9","5.5","119.7","108.5"
"","Quentin Grimes","Det","G","23.9","6","19.2","19.8","14.2","11","0.909","14","0.357","28","0.143","0.262","0.342","5.3","2","2.3","0.8","0.7","1.2","7.3","7.7","9.7","6","78.7","114.3"
"","Bismack Biyombo","Mem","C","31.6","30","23.9","10.6","24.2","46","0.478","119","0.563","0","0","0.563","0.56","5.2","6.4","1.7","0.3","1.1","1.3","11.6","6.9","13.3","6.4","107.9","105.6"
"","Luke Kornet","Bos","C-F","28.7","55","15.5","11.1","10.2","49","0.898","175","0.686","0","0","0.686","0.722","5.2","4.1","1","0.4","1","0.4","9.2","6.2","10.2","7.2","152.5","106.4"
"","Jarred Vanderbilt","Lal","F","25","29","20","11.7","19.7","36","0.667","87","0.586","27","0.296","0.553","0.578","5.2","4.8","1.2","1.2","0.2","1","9.9","6.4","11.2","6.2","112.9","108.1"
"","Jordan Nwora","Ind","F","25.6","18","10.1","22.7","12.7","11","0.818","46","0.565","36","0.306","0.518","0.541","5.2","1.8","1","0.3","0.1","0.7","7.1","6.2","8.1","8.3","105.5","111.8"
"","Jeff Dowtin Jr.","Phi","G","26.9","6","13.6","12.1","13.4","2","1","5","0.8","14","0.5","0.763","0.78","5.2","1.7","2.7","0.7","0.2","0.5","6.8","7.8","9.5","8.5","151.9","119"
"","Gary Payton II","Gol","G","31.3","38","15.2","13.5","13","18","0.611","109","0.615","45","0.356","0.591","0.596","5.1","2.6","1.1","0.9","0.4","0.6","7.7","6.2","8.8","6.4","119.9","107"
"","Malachi Flynn","Tor","G","25.9","31","15.3","16.2","19.4","22","0.773","57","0.491","80","0.35","0.511","0.535","5.1","2.1","2.4","0.6","0.2","1.1","7.2","7.4","9.5","7.7","105.5","112.7"
"","Thaddeus Young","Tor","F","35.8","23","15.2","12.6","11.2","12","0.417","81","0.654","6","0.167","0.626","0.618","5","3.3","2.2","0.8","0.1","0.5","8.2","7.1","10.4","8.7","131.5","109.1"
"","Chimezie Metu","Pho","F-C","27","37","12.1","17","17.2","43","0.884","79","0.646","51","0.294","0.565","0.621","5","3","0.5","0.5","0.2","0.7","8","5.5","8.5","6.5","114.7","107.2"
"","Kenyon Martin Jr.","Lac","F","23.2","2","15.7","18","16.4","2","0.5","5","0.6","5","0.2","0.45","0.46","5","1.5","0.5","1","0.5","1","6.5","5.5","7","4","86.3","109.5"
"","Isaiah Livers","Det","F","25.7","23","20.4","12.7","12.1","18","0.667","39","0.462","77","0.286","0.44","0.46","5","2.1","1.1","0.6","0.2","0.7","7","6","8.1","4.4","96.3","114.5"
"","Jordan Goodwin","Pho","G","25.4","40","14","18.2","13","29","0.862","113","0.46","80","0.288","0.448","0.481","5","2.9","2","0.6","0.2","0.7","7.9","6.9","9.8","8.8","108.9","110"
"","Bryce McGowens","Cha","G","21.4","52","15.3","14.1","11.6","71","0.761","107","0.551","90","0.333","0.528","0.574","5","1.8","0.9","0.4","0.1","0.5","6.8","5.9","7.7","5.3","113.2","114.9"
"","Julian Strawther","Den","G","21.9","44","11.9","20.5","8.1","27","0.741","81","0.506","134","0.299","0.47","0.489","5","1.2","1","0.4","0.2","0.4","6.3","6","7.3","6.1","101.2","108.2"
"","Monte Morris","Min","G","28.8","18","15.6","14.6","4.5","11","0.636","46","0.413","38","0.395","0.494","0.507","5","1.4","2.5","0.7","0.2","0.2","6.4","7.5","8.9","6.7","120.6","110.7"
"","Buddy Boeheim","Det","F","24.4","5","9.8","19.2","0","5","1","3","0.333","17","0.353","0.5","0.563","5","1.6","0.6","0","0.2","0","6.6","5.6","7.2","6.9","125.8","117.8"
"","D.J. Wilson","Phi","F","28.1","2","7.8","16.7","0","0","0","4","0.5","2","1","0.833","0.833","5","1","1","0","1","0","6","6","7","8.8","172.3","115.8"
"","Jevon Carter","Chi","G","28.5","67","13.7","17.4","9.4","7","0.571","119","0.471","208","0.337","0.492","0.494","4.9","0.8","1.2","0.5","0.2","0.5","5.7","6","6.9","4.9","100.8","114.4"
"","Josh Okogie","Pho","F","25.6","56","16.9","12.9","14.7","102","0.745","110","0.509","93","0.301","0.483","0.549","4.9","2.7","1.1","0.8","0.4","0.6","7.6","6","8.7","5.8","118.7","111.8"
"","Jared Butler","Was","G","23.6","32","12","19.7","21.7","22","0.864","80","0.6","53","0.264","0.519","0.55","4.9","1.1","2.7","0.6","0.2","1.2","6","7.6","8.7","8.1","105.2","114.5"
"","Anthony Black","Orl","G","20.2","64","17.5","12.8","18.1","80","0.613","150","0.5","90","0.389","0.531","0.552","4.8","2.2","1.4","0.5","0.3","0.8","6.9","6.2","8.3","5.6","107.8","105.6"
"","Patrick Beverley","Mil","G","35.7","20","19","13.4","11.8","19","0.789","44","0.341","53","0.321","0.418","0.456","4.8","2.9","2.1","0.7","0.6","0.7","7.7","6.9","9.8","6.5","104.9","108.5"
"","DeJon Jarreau","Mem","G","26.2","9","16.6","18.4","15.2","11","0.455","37","0.351","13","0.308","0.38","0.392","4.8","4.9","2.9","0.7","0.2","1","9.7","7.7","12.6","9.8","93.1","104.7"
"","Shake Milton","Min","G-F","27.5","38","12.9","18.7","14.9","44","0.818","107","0.467","53","0.264","0.444","0.496","4.7","1.3","1.3","0.4","0.1","0.7","6","6","7.3","6.2","100.2","104.3"
"","Davion Mitchell","Sac","G","25.6","63","14.1","14.3","12.7","31","0.742","125","0.576","122","0.344","0.547","0.562","4.7","1.1","1.7","0.2","0","0.6","5.8","6.3","7.4","5.9","114","113.6"
"","Jacob Gilyard","Mem","G","25.7","37","17.7","11.5","16.7","2","1","24","0.375","120","0.425","0.594","0.597","4.7","1.2","3.5","0.7","0.1","0.8","5.8","8.2","9.4","6.1","124.6","114.9"
"","Kevon Looney","Gol","C","28.1","66","16.7","11","17.9","73","0.671","209","0.608","1","0","0.605","0.626","4.6","5.8","1.9","0.4","0.3","0.7","10.4","6.5","12.3","8.9","132","102.6"
"","Mo Bamba","Phi","C","25.9","52","13.3","15.2","17","46","0.652","127","0.543","58","0.414","0.568","0.585","4.6","4.2","0.8","0.4","1","0.7","8.8","5.4","9.6","7.5","115.3","101.5"
"","Neemias Queta","Bos","C","24.7","26","11.4","15.2","10.7","24","0.708","83","0.614","0","0","0.614","0.636","4.6","4.1","0.5","0.4","0.6","0.4","8.7","5.1","9.2","7.4","135.7","95.9"
"","Keon Ellis","Sac","G","24.2","48","15.5","11.7","12.9","24","0.667","45","0.644","124","0.395","0.607","0.615","4.6","1.8","1.4","0.8","0.5","0.5","6.4","6","7.8","5.8","121.5","107.4"
"","Ashton Hagans","Por","G-F","24.7","16","17.3","15.1","30.7","15","0.8","43","0.465","20","0.35","0.484","0.524","4.6","2.5","2.9","0.6","0.6","1.8","7.1","7.5","10","7.4","98.1","108.4"
"","Robert Covington","Phi","F","33.3","26","16.1","11.4","11","24","0.875","41","0.561","48","0.354","0.545","0.593","4.5","3.4","0.7","1.3","0.6","0.4","8","5.2","8.6","5.5","123.9","103.2"
"","Keita Bates-Diop","Pho","F","28.2","39","15.3","13","8","36","0.722","86","0.512","64","0.313","0.493","0.525","4.5","2.6","0.9","0.6","0.5","0.3","7.1","5.3","7.9","5.7","115.3","113.2"
"","Jalen Wilson","Bro","F","23.4","35","13.9","14.2","9.6","32","0.906","78","0.487","53","0.34","0.496","0.548","4.5","2.6","1.1","0.2","0","0.4","7.2","5.6","8.2","6.7","120.2","113.3"
"","Max Christie","Lal","G","21.1","60","15.1","13.2","13.5","44","0.773","114","0.5","109","0.367","0.525","0.553","4.5","2.2","0.9","0.3","0.3","0.6","6.7","5.4","7.6","5.5","104.7","112.8"
"","AJ Green","Mil","G","24.5","49","10.2","15.8","4.5","16","0.938","23","0.522","145","0.414","0.607","0.626","4.5","1.1","0.6","0.1","0","0.2","5.6","5","6.2","5.6","125.2","111.8"
"","Jamal Cain","Mia","F","25","21","12","16.9","9.3","23","0.783","48","0.479","30","0.333","0.487","0.533","4.5","1.7","0.5","0.5","0.2","0.4","6.1","5","6.6","5.2","110.3","107.4"
"","Monte Morris","Det","G","28.8","6","11.4","22.3","5.7","2","0.5","22","0.455","11","0.182","0.394","0.398","4.5","2","1.3","0.2","0.2","0.3","6.5","5.8","7.8","8","91.6","121.9"
"","Gordon Hayward","Okc","F","34","19","16.7","12.5","11.2","26","0.692","51","0.333","20","0.55","0.472","0.516","4.5","2.5","1.8","0.3","0","0.5","7","6.3","8.8","6.5","115.2","113.4"
"","Kobi Simmons","Tor","G","26.7","2","20.9","13.3","7.7","0","0","7","0.429","5","0.2","0.375","0.375","4.5","1.5","3","2.5","0.5","0.5","6","7.5","9","5.2","96.2","108.9"
"","Kenrich Williams","Okc","G-F","29.3","60","14.5","12.7","8","12","0.417","108","0.546","122","0.377","0.557","0.555","4.4","3.1","1.3","0.6","0.1","0.3","7.4","5.6","8.7","7.2","122.1","105.7"
"","Garrison Mathews","Atl","G","27.4","57","14.2","10.4","9.1","37","0.811","24","0.5","146","0.452","0.653","0.676","4.4","1.4","0.5","0.3","0.1","0.3","5.8","5","6.3","4.1","131.8","111.5"
"","Dominick Barlow","San","F","20.8","33","12.7","14.1","7.4","42","0.69","104","0.51","9","0.333","0.509","0.548","4.4","3.4","1.1","0.4","0.4","0.3","7.8","5.5","8.9","8","124.3","108.7"
"","Jontay Porter","Tor","C-F","24.4","26","13.8","15.8","16.8","18","0.833","44","0.455","60","0.333","0.481","0.514","4.4","3.2","2.3","0.8","0.8","0.8","7.6","6.7","9.9","9.2","112.1","109.2"
"","DeAndre Jordan","Den","C","35.7","33","11.5","15.9","19.1","53","0.491","93","0.624","0","0","0.624","0.61","4.3","4.7","0.7","0.2","0.5","0.7","9","5","9.7","8.4","120.2","99"
"","Seth Curry","Dal","G","33.6","36","12.7","15.9","9.9","19","0.895","65","0.385","80","0.363","0.472","0.502","4.3","1.4","0.8","0.5","0.1","0.4","5.7","5.1","6.6","5.3","104.8","113.4"
"","Joe Ingles","Orl","F-G","36.5","59","17.2","11.6","21","27","0.852","62","0.435","141","0.418","0.569","0.591","4.3","2.1","3","0.6","0.1","0.9","6.4","7.3","9.4","7","119.3","106.8"
"","Maxi Kleber","Dal","C","32.2","36","20.3","9.4","15","35","0.657","45","0.578","79","0.329","0.524","0.549","4.3","3.2","1.6","0.4","0.6","0.6","7.4","5.8","9","5.5","114.8","110.5"
"","John Konchar","Mem","G","28","55","21.3","9.7","18.1","25","0.84","88","0.568","120","0.317","0.514","0.537","4.3","4.7","2","0.9","0.9","0.8","8.9","6.3","10.9","6.4","113","110.3"
"","Dru Smith","Mia","G","26.2","9","14.5","13.2","13","2","1","16","0.5","17","0.412","0.561","0.576","4.3","1.6","1.6","1","0.3","0.6","5.9","5.9","7.4","6.1","117.9","105"
"","MarJon Beauchamp","Mil","F","23.5","46","12.9","14.2","14.7","28","0.679","85","0.553","72","0.389","0.567","0.582","4.3","2.1","0.7","0.3","0.1","0.6","6.4","4.9","7","5.7","109.5","110.2"
"","Caleb Houstan","Orl","G","21.2","55","14","12.6","7.5","24","0.792","13","0.615","183","0.372","0.561","0.579","4.3","1.5","0.5","0.2","0.1","0.3","5.8","4.9","6.3","4.2","118.7","109.3"
"","Lester Quinones","Gol","G","23.4","33","11.2","17.2","11.5","27","0.667","46","0.457","77","0.351","0.5","0.523","4.3","2.1","1","0.2","0.1","0.5","6.4","5.3","7.4","7.4","110.7","108.1"
"","Danuel House Jr.","Phi","F-G","30.8","34","15","12.2","15.3","46","0.761","55","0.582","50","0.3","0.519","0.575","4.2","1.7","0.8","0.4","0.1","0.6","5.9","5.1","6.8","4.8","113.7","111.2"
"","Troy Brown Jr.","Min","G-F","24.7","37","11.1","15.7","13.2","22","0.864","34","0.618","84","0.369","0.572","0.603","4.2","1.9","0.9","0.2","0.1","0.5","6.1","5.1","7.1","7","118","106.5"
"","Armoni Brooks","Bro","G","25.8","10","10.4","20.3","4.1","2","0.5","14","0.286","32","0.344","0.446","0.448","4.2","1.8","0.5","0.1","0.1","0.2","6","4.7","6.5","6","100.5","119.2"
"","Theo Maledon","Cha","G","22.8","13","15.4","19","18.4","12","0.917","36","0.389","30","0.167","0.326","0.379","4.2","1.8","2.2","0.5","0","1.2","5.9","6.3","8.1","6.6","82.6","114.2"
"","Jae'Sean Tate","Hou","F","28.4","63","16.2","11.6","13.3","39","0.667","150","0.56","77","0.299","0.522","0.539","4.2","3.1","1","0.7","0.2","0.6","7.3","5.2","8.3","5.8","112.2","101.6"
"","Chris Duarte","Sac","G","26.8","53","13","14.7","10.3","33","0.788","81","0.432","119","0.353","0.49","0.517","4.2","1.9","0.8","0.5","0.2","0.4","6.1","5","6.9","5.7","107.1","107.9"
"","Eugene Omoruyi","Was","F","27.1","36","7.9","23.1","13","39","0.692","92","0.576","28","0.214","0.517","0.55","4.2","2","0.8","0.6","0.1","0.5","6.2","4.9","6.9","9.6","110.8","101.1"
"","Ben Sheppard","Ind","G","22.7","50","13.3","12.9","5.1","23","0.87","60","0.6","124","0.323","0.522","0.546","4.2","1.5","0.9","0.5","0","0.2","5.7","5.1","6.6","5.4","115.5","111.5"
"","Delon Wright","Mia","G","31.9","10","19.6","12.3","2","10","0.7","30","0.333","19","0.263","0.357","0.393","4.2","1.9","2.2","0.9","0.1","0.1","6.1","6.4","8.3","5.3","103.1","113.5"
"","JaVale McGee","Sac","C-F","36.2","43","7.6","22.9","20.5","43","0.581","119","0.622","5","0.2","0.609","0.616","4.1","2.7","0.3","0.3","0.5","0.7","6.8","4.4","7.2","7.9","108.5","101.3"
"","Delon Wright","Was","G","31.9","33","13.8","13.5","8.2","29","0.828","84","0.405","38","0.368","0.451","0.497","4.1","1.8","2.5","1.1","0.2","0.3","5.8","6.5","8.3","7.7","118","117.5"
"","Jaxson Hayes","Lal","C-F","23.9","63","12","12.3","18.9","72","0.625","142","0.746","8","0","0.707","0.707","4.1","2.9","0.4","0.4","0.4","0.6","6.9","4.5","7.4","5.6","128","102.6"
"","Brandon Boston Jr.","Lac","G","22.3","26","8.5","23.4","10.2","22","0.682","67","0.478","30","0.3","0.469","0.497","4.1","1.2","0.3","0.2","0.3","0.4","5.2","4.3","5.5","5.4","99.4","108.5"
"","Blake Wesley","San","G","21","53","13.6","14.2","18.8","64","0.672","132","0.576","41","0.195","0.509","0.544","4.1","1.4","2.6","0.5","0.2","0.8","5.5","6.8","8.2","7.2","113.8","110.9"
"","Ryan Rollins","Was","G","21.7","10","6.6","25.2","21.6","17","0.765","22","0.5","3","0.667","0.56","0.631","4.1","1.1","1.1","0.8","0.3","0.7","5.2","5.2","6.3","10.3","115.2","107.7"
"","Troy Brown Jr.","Det","G-F","24.7","14","15.9","14.5","11.2","11","0.818","27","0.333","36","0.278","0.381","0.42","4.1","2.8","1","0.3","0","0.6","6.9","5.1","7.9","5.7","90.8","118.7"
"","Evan Fournier","Nyk","G-F","31.4","3","12.9","24.4","4.7","2","1","5","0.4","15","0.133","0.25","0.287","4","1.3","1","1.3","0","0.3","5.3","5","6.3","5.4","72.6","100.9"
"","Mike Muscala","Was","F-C","32.7","24","14.1","14.3","15","20","0.75","39","0.487","51","0.275","0.444","0.481","4","3.1","1","0.2","0.3","0.7","7.1","4.9","8","6.6","100.2","114.5"
"","Jock Landale","Hou","C","28.4","47","12","14.1","13.1","46","0.804","116","0.552","29","0.241","0.514","0.563","4","3","1","0.3","0.6","0.5","7","4.9","8","7.6","123.8","105.9"
"","Jaden Springer","Phi","G","21.5","32","11.8","18.2","18","34","0.824","81","0.469","37","0.216","0.424","0.481","4","1.8","1.1","0.8","0.3","0.8","5.8","5.1","6.9","6.8","99.7","104.2"
"","Mamadi Diakite","San","F","27.2","3","5.3","20.1","0","6","0.667","5","0.8","0","0","0.8","0.785","4","1","0.7","0","0.3","0","5","4.7","5.7","10.6","167.1","116.7"
"","Matt Hurt","Mem","F","23.9","8","14.2","14.2","5.5","3","1","14","0.5","20","0.25","0.426","0.453","4","2","0.5","0.4","0.4","0.3","6","4.5","6.5","4.5","103.6","113.6"
"","Izaiah Brockington","Nor","G","24.7","1","3.4","63.7","0","0","0","4","0.5","1","0","0.4","0.4","4","2","0","0","0","0","6","4","6","0","0","0"
"","Dylan Windler","Atl","G-F","27.5","4","10.8","11.6","8.3","0","0","2","1","9","0.444","0.727","0.727","4","1.8","0.5","0.5","0","0.3","5.8","4.5","6.3","5.7","136.8","117"
"","Justin Holiday","Den","F-G","35","50","14.5","10.3","5.9","4","0.75","47","0.596","112","0.402","0.601","0.603","3.9","1.2","1.1","0.6","0.1","0.2","5.1","5","6.2","4.8","125.8","109.9"
"","Ousmane Dieng","Okc","F","20.9","31","11","16.3","14","16","0.875","37","0.622","67","0.299","0.51","0.54","3.9","1.6","1.1","0.2","0.1","0.5","5.5","4.9","6.5","6.9","108.2","112.8"
"","Onuralp Bitim","Chi","F","25","18","12.5","14.6","9.5","4","0.75","31","0.548","35","0.314","0.508","0.517","3.9","1.7","0.7","0.1","0.1","0.4","5.6","4.6","6.3","5.3","105.2","112.6"
"","Tre Mann","Okc","G","23.2","13","9.2","18","18.2","1","1","21","0.571","19","0.421","0.6","0.606","3.8","1.8","1.5","0.2","0","0.7","5.6","5.3","7.2","9.4","115.1","114.2"
"","Terquavion Smith","Phi","G","21.2","12","5.8","28.3","9","3","0.667","9","0.444","31","0.387","0.55","0.557","3.8","0.2","0.8","0.6","0","0.3","4","4.7","4.8","5.8","111.1","112.1"
"","Doug McDermott","Ind","F","32.2","12","11","15.5","8.3","2","0.5","8","0.875","36","0.278","0.5","0.501","3.8","0.7","0.8","0.3","0","0.3","4.4","4.6","5.3","4.7","101.7","117.1"
"","Oshae Brissett","Bos","F-G","25.8","48","11.7","13.5","10.3","67","0.642","79","0.557","51","0.294","0.512","0.552","3.7","2.9","0.8","0.3","0.1","0.3","6.5","4.5","7.3","7","125.1","105.6"
"","Nassir Little","Pho","F-G","24.1","40","11.1","13.4","10","20","0.85","50","0.66","66","0.318","0.556","0.585","3.7","1.8","0.5","0.3","0.3","0.3","5.5","4.2","6","5.4","116.9","110.4"
"","Collin Gillespie","Den","G","24.8","23","9.7","17.1","17","12","0.667","30","0.533","38","0.395","0.566","0.58","3.7","0.9","1.2","0.5","0","0.6","4.6","4.9","5.7","6.5","108.4","106.2"
"","Kobe Bufkin","Atl","G","20.5","9","9.9","20.4","11.8","4","0.5","20","0.4","17","0.294","0.419","0.426","3.7","1.6","1.7","0.3","0.1","0.6","5.2","5.3","6.9","8.7","97.5","115.6"
"","Yuta Watanabe","Pho","G-F","29.5","29","13.2","13.5","14.1","15","0.667","22","0.5","75","0.32","0.485","0.502","3.6","1.5","0.3","0.3","0.2","0.6","5.1","3.9","5.4","3.6","96.4","111.3"
"","Omer Yurtseven","Uta","C","25.8","40","9.1","16.9","18.8","21","0.619","93","0.613","19","0.263","0.576","0.586","3.6","3.5","0.5","0.1","0.4","0.7","7.1","4","7.5","8.1","110.5","108"
"","James Bouknight","Cha","G","23.5","14","5.8","23.9","4.6","2","0.5","11","0.455","30","0.433","0.598","0.597","3.6","0.6","0.4","0.1","0.1","0.1","4.2","4","4.6","6.6","116.4","121.5"
"","Luka Garza","Min","C","25.3","20","5","31.1","8","18","0.722","28","0.571","29","0.31","0.518","0.555","3.6","1.2","0.2","0.1","0.1","0.3","4.8","3.8","5","7.6","112.8","93.1"
"","Jaylin Williams","Okc","F","21.8","60","12.5","13.1","12.6","28","0.821","65","0.462","122","0.369","0.521","0.547","3.6","3.3","1.4","0.4","0.4","0.5","6.9","5","8.3","8.2","116.4","102"
"","Jarace Walker","Ind","F","20.6","30","10.5","16","12.9","9","0.889","49","0.408","52","0.385","0.495","0.514","3.6","1.9","1.2","0.5","0.4","0.5","5.5","4.8","6.7","7.7","107.3","112.6"
"","T.J. Warren","Min","F","30.6","8","13.2","16.3","10.5","2","0.5","23","0.478","11","0.182","0.412","0.416","3.6","2.1","0.9","0.4","0.1","0.5","5.8","4.5","6.6","5.7","91.5","102.2"
"","Tristan Thompson","Cle","C-F","33","44","11.9","13.5","21","50","0.3","108","0.648","1","0","0.642","0.592","3.5","3.8","1.1","0.3","0.3","0.7","7.3","4.7","8.4","8.2","120","102.4"
"","Dwight Powell","Dal","F-C","32.7","57","13.4","9.3","22.6","84","0.726","97","0.691","2","0.5","0.692","0.728","3.5","3.3","1.4","0.4","0.3","0.5","6.8","4.8","8.1","7.5","147.7","104.8"
"","KJ Martin","Phi","F","23.2","53","11.8","13.2","14.8","39","0.538","126","0.579","23","0.304","0.56","0.566","3.5","2.1","0.8","0.4","0.2","0.5","5.6","4.4","6.5","6.1","112.1","103.2"
"","Jules Bernard","Was","G","24.2","14","7.4","22.3","7.7","6","0.5","24","0.458","24","0.333","0.479","0.484","3.5","1.1","0.9","0.1","0.1","0.3","4.6","4.4","5.4","8.2","104","115.1"
"","Mike Muscala","Det","F-C","32.7","13","13.2","11.8","4.3","4","0.5","10","0.2","34","0.382","0.489","0.492","3.5","2.2","0.8","0.2","0.4","0.2","5.7","4.2","6.5","5.6","113.6","115.8"
"","Mason Jones","Sac","G","25.7","2","9.3","18.2","13.9","2","0.5","1","0","5","0.4","0.5","0.509","3.5","2.5","2.5","0.5","0","0.5","6","6","8.5","12","120.9","116.5"
"","Richaun Holmes","Dal","F","30.5","23","10.3","14.5","16.8","21","0.571","59","0.559","0","0","0.559","0.572","3.4","3.4","0.7","0.1","0.4","0.5","6.8","4","7.4","7.8","120.6","104"
"","Harry Giles III","Bro","F-C","25.9","16","5.1","30.2","13.7","13","0.538","33","0.576","11","0.273","0.534","0.543","3.4","1.6","0.4","0.1","0.2","0.4","5","3.8","5.4","10.2","106.3","99.2"
"","Jordan McLaughlin","Min","G","28","47","10.5","12.5","11.2","12","0.667","45","0.444","74","0.5","0.634","0.64","3.4","1.3","1.8","0.6","0.1","0.3","4.7","5.2","6.5","7.6","136.1","106.4"
"","Gui Santos","Gol","F","21.8","20","7.9","15.3","13.6","15","0.933","22","0.591","22","0.409","0.602","0.662","3.4","2.2","0.6","0.2","0.1","0.4","5.6","3.9","6.1","8.4","132","105.5"
"","A.J. Lawson","Dal","G","23.7","35","7.2","19.8","9.3","21","0.619","55","0.618","42","0.31","0.552","0.565","3.4","1","0.4","0.3","0.1","0.3","4.4","3.8","4.8","6.2","112.1","111.9"
"","Rayan Rupert","Por","G-F","19.8","31","12","14.2","17.2","19","0.789","56","0.375","40","0.4","0.469","0.503","3.4","1.9","1.3","0.2","0.1","0.6","5.3","4.6","6.6","6.8","104.5","112.9"
"","Wenyen Gabriel","Mem","F","27","5","16.2","17.1","26.7","5","0","16","0.438","6","0.167","0.386","0.351","3.4","5","0.6","0.4","0.4","1.6","8.4","4","9","5.4","67.5","102.8"
"","Vasilije Micic","Okc","G","30.2","30","12","15.4","24.1","19","0.737","46","0.565","45","0.244","0.467","0.498","3.3","0.8","2.5","0.3","0.1","1","4.1","5.8","6.6","6.3","102.2","113.7"
"","Devonte' Graham","San","G","29.1","15","8.3","16.7","8.8","9","0.778","11","0.545","30","0.333","0.512","0.545","3.3","1.3","1.4","0.3","0.1","0.3","4.6","4.7","6","8.8","118.7","115.4"
"","Charles Bassey","San","C-F","23.4","19","10.8","11.8","27.1","6","0.833","39","0.744","1","0","0.725","0.739","3.3","4","1.1","0.4","0.9","0.8","7.3","4.4","8.4","9","125","101.2"
"","Jeremiah Robinson-Earl","Nor","F","23.4","33","9.3","14.8","13.1","15","0.8","52","0.577","34","0.353","0.558","0.583","3.3","2.1","0.6","0.3","0.1","0.4","5.4","3.9","6","6.9","117.1","107.5"
"","Oscar Tshiebwe","Ind","F-C","24.3","8","5.2","23.5","0","8","0.75","20","0.5","0","0","0.5","0.553","3.3","2","0.3","0.3","0.1","0","5.3","3.5","5.5","9.7","131.2","112.9"
"","Xavier Tillman","Bos","F","25.2","12","14.9","9.4","8","4","0.75","17","0.824","17","0.176","0.544","0.559","3.3","3.2","0.9","0.4","0.4","0.3","6.5","4.3","7.4","5.7","126.6","108.9"
"","Ish Smith","Cha","G","35.7","43","17.2","12.3","22.9","4","0.75","150","0.413","8","0.5","0.43","0.435","3.2","1.8","3.4","0.4","0.1","1.1","5","6.6","8.4","6.3","97.2","117.8"
"","Svi Mykhailiuk","Bos","G-F","26.8","33","8.9","16.1","8.5","7","0.571","17","0.471","80","0.35","0.515","0.52","3.2","1.1","0.7","0.3","0","0.3","4.2","3.8","4.9","6.1","109.8","111.7"
"","Zeke Nnaji","Den","F-C","23.2","53","9.8","15.8","16.5","59","0.712","115","0.487","21","0.238","0.467","0.522","3.2","2.1","0.6","0.2","0.7","0.5","5.3","3.8","5.8","6.5","110.8","103.6"
"","Saben Lee","Pho","G","24.8","21","8.5","19","13","39","0.744","37","0.432","16","0.125","0.358","0.477","3.2","1.5","1.4","0.3","0.1","0.4","4.7","4.6","6.1","8.9","113.1","111"
"","Jared Rhoden","Det","G","24.6","10","9.9","13.7","19.1","2","1","14","0.643","11","0.364","0.6","0.618","3.2","1.6","0.7","0.1","0.4","0.6","4.8","3.9","5.5","6.2","107.2","110.5"
"","Trevelin Queen","Orl","G","27.1","13","12.5","13.5","15.4","12","0.75","21","0.524","17","0.176","0.408","0.462","3.1","1.5","1.4","0.5","0.4","0.5","4.5","4.5","5.9","6","101.2","105.1"
"","Orlando Robinson","Mia","C","23.7","32","9.3","15","19.9","25","0.76","57","0.491","15","0.533","0.556","0.596","3.1","2.6","1.1","0.2","0.3","0.6","5.7","4.2","6.8","8.9","119.8","101.6"
"","Patrick Baldwin","Was","F","21.4","31","10.1","15.9","11.8","19","0.684","40","0.375","57","0.316","0.433","0.46","3.1","2.6","0.6","0.3","0.4","0.4","5.7","3.8","6.4","6.7","95.2","110"
"","Wesley Matthews","Atl","G","37.5","32","11.8","11.2","8.7","22","0.727","21","0.286","63","0.365","0.482","0.518","3","1.6","0.7","0.4","0.3","0.3","4.6","3.7","5.3","5.1","112.6","112.3"
"","Robert Covington","Lac","F","33.3","3","23.1","6.3","0","2","0.5","1","1","8","0.25","0.444","0.455","3","2.7","2.3","2","0.7","0","5.7","5.3","8","4.6","130.5","106.9"
"","Jalen McDaniels","Tor","F-C","26.2","42","9.7","18.9","14.8","24","0.667","80","0.488","64","0.172","0.385","0.411","3","1.4","0.6","0.4","0.1","0.6","4.5","3.6","5","5.6","82.8","110.9"
"","Cole Swider","Mia","F","24.9","14","5.9","24.3","18","2","1","8","0.625","28","0.357","0.556","0.569","3","0.5","0.3","0.1","0.1","0.6","3.5","3.3","3.8","5.2","92.9","115.9"
"","Noah Clowney","Bro","F","19.7","15","9.9","14.1","13.5","10","0.7","22","0.591","16","0.25","0.5","0.531","3","2","0.6","0.2","0.2","0.4","5","3.6","5.6","6.2","110","112.6"
